"State","Product","Sub.product","count"
"Arizona","Mortgage","Home equity loan or line of credit",223
"Arizona","Debt collection","I do not know",497
"Arizona","Prepaid card","ID prepaid card",1
"Arizona","Consumer Loan","Installment loan",93
"Arizona","Money transfers","International money transfer",40
"Arizona","Debt collection","Medical",288
"Arizona","Prepaid card","Mobile wallet",8
"Arizona","Debt collection","Mortgage",70
"Arizona","Student loan","Non-federal student loan",294
"Arizona","Debt collection","Other (i.e. phone, health club, etc.)",610
"Arizona","Bank account or service","Other bank product/service",205
"Arizona","Mortgage","Other mortgage",1654
"Arizona","Prepaid card","Other special purpose card",3
"Arizona","Consumer Loan","Pawn loan",1
"Arizona","Debt collection","Payday loan",160
"Arizona","Prepaid card","Payroll card",4
"Arizona","Consumer Loan","Personal line of credit",32
"Arizona","Mortgage","Reverse mortgage",32
"Arizona","Bank account or service","Savings account",70
"Arizona","Mortgage","Second mortgage",23
"Arizona","Consumer Loan","Title loan",12
"Arizona","Other financial service","Traveler/Cashier Checks",1
"Arizona","Mortgage","VA mortgage",103
"Arizona","Consumer Loan","Vehicle lease",27
"Arizona","Consumer Loan","Vehicle loan",292
"California","Bank account or service","(CD) Certificate of deposit",357
"California","Debt collection","Auto",318
"California","Bank account or service","Cashing a check without an account",57
"California","Other financial service","Check cashing",13
"California","Bank account or service","Checking account",5591
"California","Mortgage","Conventional adjustable mortgage (ARM)",6219
"California","Mortgage","Conventional fixed mortgage",8175
"California","Credit Card","Credit Card",8435
"California","Debt collection","Credit card",2659
"California","Other financial service","Credit repair",2
"California","Credit reporting","Credit reporting",10812
"California","Other financial service","Debt settlement",15
"California","Money transfers","Domestic (US) money transfer",227
"California","Mortgage","FHA mortgage",1649
"California","Debt collection","Federal student loan",204
"California","Other financial service","Foreign currency exchange",6
"California","Prepaid card","General purpose card",131
"California","Prepaid card","Gift or merchant card",49
"California","Prepaid card","Government benefit payment card",30
"California","Mortgage","Home equity loan or line of credit",1388
"California","Debt collection","I do not know",2622
"California","Prepaid card","ID prepaid card",21
"California","Consumer Loan","Installment loan",594
"California","Money transfers","International money transfer",264
"California","Debt collection","Medical",1491
"California","Prepaid card","Mobile wallet",32
"California","Other financial service","Money order",8
"California","Debt collection","Mortgage",513
"California","Student loan","Non-federal student loan",1860
"California","Debt collection","Other (i.e. phone, health club, etc.)",3589
"California","Bank account or service","Other bank product/service",1416
"California","Mortgage","Other mortgage",13204
"California","Prepaid card","Other special purpose card",17
"California","Consumer Loan","Pawn loan",3
"California","Debt collection","Payday loan",1171
"California","Prepaid card","Payroll card",10
"California","Consumer Loan","Personal line of credit",152
"California","Other financial service","Refund anticipation check",2
"California","Mortgage","Reverse mortgage",229
"California","Bank account or service","Savings account",562
"California","Mortgage","Second mortgage",129
"California","Consumer Loan","Title loan",67
"California","Prepaid card","Transit card",4
"California","Other financial service","Traveler/Cashier Checks",15
"California","Mortgage","VA mortgage",279
"California","Consumer Loan","Vehicle lease",223
"California","Consumer Loan","Vehicle loan",1160
"Colorado","Bank account or service","(CD) Certificate of deposit",37
"Colorado","Debt collection","Auto",39
"Colorado","Bank account or service","Cashing a check without an account",4
"Colorado","Other financial service","Check cashing",1
"Colorado","Bank account or service","Checking account",626
"Colorado","Mortgage","Conventional adjustable mortgage (ARM)",419
"Colorado","Mortgage","Conventional fixed mortgage",1034
"Colorado","Credit Card","Credit Card",1166
"Colorado","Debt collection","Credit card",293
"Colorado","Credit reporting","Credit reporting",1355
"Colorado","Other financial service","Debt settlement",1
"Colorado","Money transfers","Domestic (US) money transfer",21
"Colorado","Mortgage","FHA mortgage",414
"Colorado","Debt collection","Federal student loan",30
"Colorado","Prepaid card","General purpose card",12
"Colorado","Prepaid card","Gift or merchant card",7
"Colorado","Prepaid card","Government benefit payment card",2
"Colorado","Mortgage","Home equity loan or line of credit",151
"Colorado","Debt collection","I do not know",320
"Colorado","Prepaid card","ID prepaid card",2
"Colorado","Consumer Loan","Installment loan",57
"Colorado","Money transfers","International money transfer",19
"Colorado","Debt collection","Medical",284
"Colorado","Prepaid card","Mobile wallet",1
"Colorado","Debt collection","Mortgage",58
"Colorado","Student loan","Non-federal student loan",276
"Colorado","Debt collection","Other (i.e. phone, health club, etc.)",491
"Colorado","Bank account or service","Other bank product/service",147
"Colorado","Mortgage","Other mortgage",983
"Colorado","Prepaid card","Other special purpose card",2
"Colorado","Consumer Loan","Pawn loan",2
"Colorado","Payday loan","Payday loan",133
"Colorado","Prepaid card","Payroll card",2
"Colorado","Consumer Loan","Personal line of credit",20
"Colorado","Other financial service","Refund anticipation check",3
"Colorado","Mortgage","Reverse mortgage",22
"Colorado","Bank account or service","Savings account",64
"Colorado","Mortgage","Second mortgage",15
"Colorado","Consumer Loan","Title loan",1
"Colorado","Mortgage","VA mortgage",87
"Colorado","Consumer Loan","Vehicle lease",30
"Colorado","Consumer Loan","Vehicle loan",180
"Connecticut","Bank account or service","(CD) Certificate of deposit",53
"Connecticut","Debt collection","Auto",23
"Connecticut","Bank account or service","Cashing a check without an account",8
"Connecticut","Bank account or service","Checking account",595
"Connecticut","Mortgage","Conventional adjustable mortgage (ARM)",198
"Connecticut","Mortgage","Conventional fixed mortgage",659
"Connecticut","Credit Card","Credit Card",942
"Connecticut","Debt collection","Credit card",218
"Connecticut","Credit reporting","Credit reporting",787
"Connecticut","Other financial service","Debt settlement",3
"Connecticut","Money transfers","Domestic (US) money transfer",14
"Connecticut","Mortgage","FHA mortgage",205
"Connecticut","Debt collection","Federal student loan",21
"Connecticut","Prepaid card","General purpose card",19
"Connecticut","Prepaid card","Gift or merchant card",1
"Connecticut","Prepaid card","Government benefit payment card",3
"Connecticut","Mortgage","Home equity loan or line of credit",108
"Connecticut","Debt collection","I do not know",184
"Connecticut","Prepaid card","ID prepaid card",2
"Connecticut","Consumer Loan","Installment loan",39
"Connecticut","Money transfers","International money transfer",12
"Connecticut","Debt collection","Medical",75
"Connecticut","Prepaid card","Mobile wallet",4
"Connecticut","Other financial service","Money order",1
"Connecticut","Debt collection","Mortgage",21
"Connecticut","Student loan","Non-federal student loan",231
"Connecticut","Debt collection","Other (i.e. phone, health club, etc.)",231
"Connecticut","Bank account or service","Other bank product/service",135
"Connecticut","Mortgage","Other mortgage",891
"Connecticut","Prepaid card","Other special purpose card",2
"Connecticut","Payday loan","Payday loan",39
"Connecticut","Prepaid card","Payroll card",7
"Connecticut","Consumer Loan","Personal line of credit",24
"Connecticut","Mortgage","Reverse mortgage",19
"Connecticut","Bank account or service","Savings account",64
"Connecticut","Mortgage","Second mortgage",7
"Connecticut","Consumer Loan","Title loan",1
"Connecticut","Mortgage","VA mortgage",20
"Connecticut","Consumer Loan","Vehicle lease",35
"Connecticut","Consumer Loan","Vehicle loan",138
"District of Columbia","Bank account or service","(CD) Certificate of deposit",15
"District of Columbia","Debt collection","Auto",9
"District of Columbia","Bank account or service","Cashing a check without an account",2
"District of Columbia","Other financial service","Check cashing",1
"District of Columbia","Bank account or service","Checking account",345
"District of Columbia","Mortgage","Conventional adjustable mortgage (ARM)",117
"District of Columbia","Mortgage","Conventional fixed mortgage",307
"District of Columbia","Credit Card","Credit Card",426
"District of Columbia","Debt collection","Credit card",77
"District of Columbia","Credit reporting","Credit reporting",439
"District of Columbia","Other financial service","Debt settlement",2
"District of Columbia","Money transfers","Domestic (US) money transfer",15
"District of Columbia","Mortgage","FHA mortgage",90
"District of Columbia","Debt collection","Federal student loan",17
"District of Columbia","Prepaid card","General purpose card",6
"District of Columbia","Prepaid card","Gift or merchant card",3
"District of Columbia","Prepaid card","Government benefit payment card",4
"District of Columbia","Mortgage","Home equity loan or line of credit",53
"District of Columbia","Debt collection","I do not know",99
"District of Columbia","Prepaid card","ID prepaid card",1
"District of Columbia","Consumer Loan","Installment loan",23
"District of Columbia","Money transfers","International money transfer",9
"District of Columbia","Debt collection","Medical",56
"District of Columbia","Prepaid card","Mobile wallet",2
"District of Columbia","Other financial service","Money order",2
"District of Columbia","Debt collection","Mortgage",18
"District of Columbia","Student loan","Non-federal student loan",168
"District of Columbia","Debt collection","Other (i.e. phone, health club, etc.)",149
"District of Columbia","Bank account or service","Other bank product/service",87
"District of Columbia","Mortgage","Other mortgage",253
"District of Columbia","Debt collection","Payday loan",49
"District of Columbia","Consumer Loan","Personal line of credit",12
"District of Columbia","Other financial service","Refund anticipation check",1
"District of Columbia","Mortgage","Reverse mortgage",12
"District of Columbia","Bank account or service","Savings account",30
"District of Columbia","Mortgage","Second mortgage",5
"District of Columbia","Consumer Loan","Title loan",2
"District of Columbia","Mortgage","VA mortgage",6
"District of Columbia","Consumer Loan","Vehicle lease",12
"District of Columbia","Consumer Loan","Vehicle loan",62
"Delaware","Bank account or service","(CD) Certificate of deposit",18
"Delaware","Debt collection","Auto",12
"Delaware","Bank account or service","Cashing a check without an account",2
"Delaware","Bank account or service","Checking account",267
"Delaware","Mortgage","Conventional adjustable mortgage (ARM)",65
"Delaware","Mortgage","Conventional fixed mortgage",283
"Delaware","Credit Card","Credit Card",421
"Delaware","Debt collection","Credit card",117
"Delaware","Credit reporting","Credit reporting",368
"Delaware","Money transfers","Domestic (US) money transfer",7
"Delaware","Mortgage","FHA mortgage",82
"Delaware","Debt collection","Federal student loan",7
"Delaware","Prepaid card","General purpose card",6
"Delaware","Prepaid card","Government benefit payment card",1
"Delaware","Mortgage","Home equity loan or line of credit",42
"Delaware","Debt collection","I do not know",87
"Delaware","Prepaid card","ID prepaid card",1
"Delaware","Consumer Loan","Installment loan",30
"Delaware","Money transfers","International money transfer",7
"Delaware","Debt collection","Medical",57
"Delaware","Other financial service","Money order",1
"Delaware","Debt collection","Mortgage",44
"Delaware","Student loan","Non-federal student loan",67
"Delaware","Debt collection","Other (i.e. phone, health club, etc.)",119
"Delaware","Bank account or service","Other bank product/service",56
"Delaware","Mortgage","Other mortgage",343
"Delaware","Debt collection","Payday loan",58
"Delaware","Prepaid card","Payroll card",2
"Delaware","Consumer Loan","Personal line of credit",11
"Delaware","Mortgage","Reverse mortgage",8
"Delaware","Bank account or service","Savings account",31
"Delaware","Mortgage","Second mortgage",3
"Delaware","Mortgage","VA mortgage",18
"Delaware","Consumer Loan","Vehicle lease",16
"Delaware","Consumer Loan","Vehicle loan",99
"Florida","Bank account or service","(CD) Certificate of deposit",257
"Florida","Debt collection","Auto",211
"Florida","Bank account or service","Cashing a check without an account",29
"Florida","Other financial service","Check cashing",14
"Florida","Bank account or service","Checking account",4001
"Florida","Mortgage","Conventional adjustable mortgage (ARM)",2126
"Florida","Mortgage","Conventional fixed mortgage",5463
"Florida","Credit Card","Credit Card",5266
"Florida","Debt collection","Credit card",1778
"Florida","Other financial service","Credit repair",2
"Florida","Credit reporting","Credit reporting",7627
"Florida","Other financial service","Debt settlement",6
"Florida","Money transfers","Domestic (US) money transfer",102
"Florida","Prepaid card","Electronic Benefit Transfer / EBT card",1
"Florida","Mortgage","FHA mortgage",1563
"Florida","Debt collection","Federal student loan",119
"Florida","Other financial service","Foreign currency exchange",2
"Florida","Prepaid card","General purpose card",72
"Florida","Prepaid card","Gift or merchant card",7
"Florida","Prepaid card","Government benefit payment card",7
"Florida","Mortgage","Home equity loan or line of credit",807
"Florida","Debt collection","I do not know",1965
"Florida","Prepaid card","ID prepaid card",4
"Florida","Consumer Loan","Installment loan",293
"Florida","Money transfers","International money transfer",166
"Florida","Debt collection","Medical",1243
"Florida","Prepaid card","Mobile wallet",9
"Florida","Other financial service","Money order",3
"Florida","Debt collection","Mortgage",332
"Florida","Student loan","Non-federal student loan",1057
"Florida","Debt collection","Other (i.e. phone, health club, etc.)",2405
"Florida","Bank account or service","Other bank product/service",885
"Florida","Mortgage","Other mortgage",9198
"Florida","Prepaid card","Other special purpose card",9
"Florida","Consumer Loan","Pawn loan",3
"Florida","Debt collection","Payday loan",455
"Florida","Prepaid card","Payroll card",18
"Florida","Consumer Loan","Personal line of credit",121
"Florida","Other financial service","Refund anticipation check",2
"Florida","Mortgage","Reverse mortgage",168
"Florida","Bank account or service","Savings account",311
"Florida","Mortgage","Second mortgage",65
"Florida","Consumer Loan","Title loan",10
"Florida","Prepaid card","Transit card",1
"Florida","Other financial service","Traveler/Cashier Checks",2
"Florida","Mortgage","VA mortgage",323
"Florida","Consumer Loan","Vehicle lease",156
"Florida","Consumer Loan","Vehicle loan",958
"Georgia","Bank account or service","(CD) Certificate of deposit",94
"Georgia","Debt collection","Auto",116
"Georgia","Bank account or service","Cashing a check without an account",21
"Georgia","Other financial service","Check cashing",3
"Georgia","Bank account or service","Checking account",1725
"Georgia","Mortgage","Conventional adjustable mortgage (ARM)",735
"Georgia","Mortgage","Conventional fixed mortgage",2649
"Georgia","Credit Card","Credit Card",1973
"Georgia","Debt collection","Credit card",876
"Georgia","Other financial service","Credit repair",1
"Georgia","Credit reporting","Credit reporting",3640
"Georgia","Other financial service","Debt settlement",2
"Georgia","Money transfers","Domestic (US) money transfer",72
"Georgia","Mortgage","FHA mortgage",1320
"Georgia","Debt collection","Federal student loan",74
"Georgia","Prepaid card","General purpose card",64
"Georgia","Prepaid card","Gift or merchant card",7
"Georgia","Prepaid card","Government benefit payment card",5
"Georgia","Mortgage","Home equity loan or line of credit",299
"Georgia","Debt collection","I do not know",726
"Georgia","Prepaid card","ID prepaid card",7
"Georgia","Consumer Loan","Installment loan",231
"Georgia","Money transfers","International money transfer",71
"Georgia","Debt collection","Medical",497
"Georgia","Prepaid card","Mobile wallet",10
"Georgia","Other financial service","Money order",6
"Georgia","Debt collection","Mortgage",189
"Georgia","Student loan","Non-federal student loan",611
"Georgia","Debt collection","Other (i.e. phone, health club, etc.)",1229
"Georgia","Bank account or service","Other bank product/service",366
"Georgia","Mortgage","Other mortgage",3689
"Georgia","Prepaid card","Other special purpose card",7
"Georgia","Consumer Loan","Pawn loan",5
"Georgia","Debt collection","Payday loan",207
"Georgia","Prepaid card","Payroll card",21
"Georgia","Consumer Loan","Personal line of credit",59
"Georgia","Mortgage","Reverse mortgage",33
"Georgia","Bank account or service","Savings account",121
"Georgia","Mortgage","Second mortgage",39
"Georgia","Consumer Loan","Title loan",22
"Georgia","Prepaid card","Transit card",3
"Georgia","Other financial service","Traveler/Cashier Checks",1
"Georgia","Mortgage","VA mortgage",217
"Georgia","Consumer Loan","Vehicle lease",37
"Georgia","Consumer Loan","Vehicle loan",584
"Hawaii","Bank account or service","(CD) Certificate of deposit",7
"Hawaii","Debt collection","Auto",3
"Hawaii","Bank account or service","Checking account",91
"Hawaii","Mortgage","Conventional adjustable mortgage (ARM)",83
"Hawaii","Mortgage","Conventional fixed mortgage",200
"Hawaii","Credit Card","Credit Card",244
"Hawaii","Debt collection","Credit card",77
"Hawaii","Credit reporting","Credit reporting",271
"Hawaii","Money transfers","Domestic (US) money transfer",4
"Hawaii","Mortgage","FHA mortgage",39
"Hawaii","Debt collection","Federal student loan",1
"Hawaii","Prepaid card","General purpose card",3
"Hawaii","Prepaid card","Gift or merchant card",1
"Hawaii","Mortgage","Home equity loan or line of credit",20
"Hawaii","Debt collection","I do not know",75
"Hawaii","Consumer Loan","Installment loan",15
"Hawaii","Money transfers","International money transfer",5
"Hawaii","Debt collection","Medical",29
"Hawaii","Debt collection","Mortgage",65
"Hawaii","Student loan","Non-federal student loan",45
"Hawaii","Debt collection","Other (i.e. phone, health club, etc.)",68
"Hawaii","Bank account or service","Other bank product/service",27
"Hawaii","Mortgage","Other mortgage",340
"Hawaii","Debt collection","Payday loan",22
"Hawaii","Prepaid card","Payroll card",1
"Hawaii","Consumer Loan","Personal line of credit",3
"Hawaii","Mortgage","Reverse mortgage",8
"Hawaii","Bank account or service","Savings account",9
"Hawaii","Mortgage","Second mortgage",3
"Hawaii","Mortgage","VA mortgage",20
"Hawaii","Consumer Loan","Vehicle lease",6
"Hawaii","Consumer Loan","Vehicle loan",32
"Iowa","Bank account or service","(CD) Certificate of deposit",6
"Iowa","Debt collection","Auto",13
"Iowa","Bank account or service","Cashing a check without an account",2
"Iowa","Bank account or service","Checking account",145
"Iowa","Mortgage","Conventional adjustable mortgage (ARM)",24
"Iowa","Mortgage","Conventional fixed mortgage",209
"Iowa","Credit Card","Credit Card",335
"Iowa","Debt collection","Credit card",92
"Iowa","Credit reporting","Credit reporting",361
"Iowa","Other financial service","Debt settlement",2
"Iowa","Money transfers","Domestic (US) money transfer",7
"Iowa","Mortgage","FHA mortgage",61
"Iowa","Debt collection","Federal student loan",7
"Iowa","Prepaid card","General purpose card",6
"Iowa","Prepaid card","Government benefit payment card",2
"Iowa","Mortgage","Home equity loan or line of credit",22
"Iowa","Debt collection","I do not know",108
"Iowa","Prepaid card","ID prepaid card",1
"Iowa","Consumer Loan","Installment loan",21
"Iowa","Money transfers","International money transfer",4
"Iowa","Debt collection","Medical",57
"Iowa","Prepaid card","Mobile wallet",2
"Iowa","Debt collection","Mortgage",9
"Iowa","Student loan","Non-federal student loan",121
"Iowa","Debt collection","Other (i.e. phone, health club, etc.)",126
"Iowa","Bank account or service","Other bank product/service",40
"Iowa","Mortgage","Other mortgage",148
"Iowa","Payday loan","Payday loan",75
"Iowa","Prepaid card","Payroll card",2
"Iowa","Consumer Loan","Personal line of credit",7
"Iowa","Mortgage","Reverse mortgage",3
"Iowa","Bank account or service","Savings account",9
"Iowa","Mortgage","Second mortgage",1
"Iowa","Consumer Loan","Title loan",2
"Iowa","Prepaid card","Transit card",1
"Iowa","Mortgage","VA mortgage",26
"Iowa","Consumer Loan","Vehicle lease",2
"Iowa","Consumer Loan","Vehicle loan",43
"Idaho","Bank account or service","(CD) Certificate of deposit",5
"Idaho","Debt collection","Auto",9
"Idaho","Bank account or service","Cashing a check without an account",1
"Idaho","Bank account or service","Checking account",108
"Idaho","Mortgage","Conventional adjustable mortgage (ARM)",40
"Idaho","Mortgage","Conventional fixed mortgage",186
"Idaho","Credit Card","Credit Card",230
"Idaho","Debt collection","Credit card",78
"Idaho","Credit reporting","Credit reporting",305
"Idaho","Money transfers","Domestic (US) money transfer",8
"Idaho","Mortgage","FHA mortgage",55
"Idaho","Debt collection","Federal student loan",9
"Idaho","Prepaid card","General purpose card",3
"Idaho","Prepaid card","Gift or merchant card",1
"Idaho","Prepaid card","Government benefit payment card",1
"Idaho","Mortgage","Home equity loan or line of credit",29
"Idaho","Debt collection","I do not know",79
"Idaho","Consumer Loan","Installment loan",25
"Idaho","Money transfers","International money transfer",7
"Idaho","Debt collection","Medical",74
"Idaho","Debt collection","Mortgage",14
"Idaho","Student loan","Non-federal student loan",54
"Idaho","Debt collection","Other (i.e. phone, health club, etc.)",120
"Idaho","Bank account or service","Other bank product/service",29
"Idaho","Mortgage","Other mortgage",197
"Idaho","Debt collection","Payday loan",60
"Idaho","Prepaid card","Payroll card",1
"Idaho","Consumer Loan","Personal line of credit",7
"Idaho","Mortgage","Reverse mortgage",9
"Idaho","Bank account or service","Savings account",9
"Idaho","Mortgage","Second mortgage",3
"Idaho","Consumer Loan","Title loan",1
"Idaho","Mortgage","VA mortgage",10
"Idaho","Consumer Loan","Vehicle lease",5
"Idaho","Consumer Loan","Vehicle loan",18
"Illinois","Bank account or service","(CD) Certificate of deposit",94
"Illinois","Debt collection","Auto",84
"Illinois","Bank account or service","Cashing a check without an account",16
"Illinois","Other financial service","Check cashing",5
"Illinois","Bank account or service","Checking account",1796
"Illinois","Mortgage","Conventional adjustable mortgage (ARM)",644
"Illinois","Mortgage","Conventional fixed mortgage",2029
"Illinois","Credit Card","Credit Card",2264
"Illinois","Debt collection","Credit card",632
"Illinois","Other financial service","Credit repair",3
"Illinois","Credit reporting","Credit reporting",2992
"Illinois","Other financial service","Debt settlement",3
"Illinois","Money transfers","Domestic (US) money transfer",70
"Illinois","Mortgage","FHA mortgage",684
"Illinois","Debt collection","Federal student loan",58
"Illinois","Other financial service","Foreign currency exchange",2
"Illinois","Prepaid card","General purpose card",36
"Illinois","Prepaid card","Gift or merchant card",4
"Illinois","Prepaid card","Government benefit payment card",8
"Illinois","Mortgage","Home equity loan or line of credit",353
"Illinois","Debt collection","I do not know",726
"Illinois","Prepaid card","ID prepaid card",7
"Illinois","Consumer Loan","Installment loan",157
"Illinois","Money transfers","International money transfer",51
"Illinois","Debt collection","Medical",415
"Illinois","Prepaid card","Mobile wallet",13
"Illinois","Other financial service","Money order",3
"Illinois","Debt collection","Mortgage",99
"Illinois","Student loan","Non-federal student loan",732
"Illinois","Debt collection","Other (i.e. phone, health club, etc.)",964
"Illinois","Bank account or service","Other bank product/service",324
"Illinois","Mortgage","Other mortgage",1958
"Illinois","Prepaid card","Other special purpose card",4
"Illinois","Consumer Loan","Pawn loan",4
"Illinois","Debt collection","Payday loan",291
"Illinois","Prepaid card","Payroll card",12
"Illinois","Consumer Loan","Personal line of credit",50
"Illinois","Mortgage","Reverse mortgage",35
"Illinois","Bank account or service","Savings account",122
"Illinois","Mortgage","Second mortgage",18
"Illinois","Consumer Loan","Title loan",4
"Illinois","Other financial service","Traveler/Cashier Checks",1
"Illinois","Mortgage","VA mortgage",69
"Illinois","Consumer Loan","Vehicle lease",35
"Illinois","Consumer Loan","Vehicle loan",359
"Indiana","Bank account or service","(CD) Certificate of deposit",21
"Indiana","Debt collection","Auto",28
"Indiana","Bank account or service","Cashing a check without an account",5
"Indiana","Other financial service","Check cashing",3
"Indiana","Bank account or service","Checking account",449
"Indiana","Mortgage","Conventional adjustable mortgage (ARM)",110
"Indiana","Mortgage","Conventional fixed mortgage",553
"Indiana","Credit Card","Credit Card",674
"Indiana","Debt collection","Credit card",287
"Indiana","Other financial service","Credit repair",2
"Indiana","Credit reporting","Credit reporting",959
"Indiana","Other financial service","Debt settlement",1
"Indiana","Money transfers","Domestic (US) money transfer",18
"Indiana","Mortgage","FHA mortgage",275
"Indiana","Debt collection","Federal student loan",24
"Indiana","Prepaid card","General purpose card",14
"Indiana","Prepaid card","Gift or merchant card",3
"Indiana","Prepaid card","Government benefit payment card",2
